feature,mean_abs_shap,feat_index
VSA_EState8,0.014172,2135
PEOE_VSA8,0.011871,2093
FpDensityMorgan2,0.010578,2056
SMR_VSA6,0.009785,2101
Chi4v,0.008847,2074
VSA_EState5,0.008493,2132
PEOE_VSA9,0.008479,2094
VSA_EState3,0.008006,2130
EState_VSA4,0.007277,2121
VSA_EState9,0.006489,2136
EState_VSA7,0.006007,2124
VSA_EState6,0.005927,2133
EState_VSA3,0.00579,2120
EState_VSA6,0.005698,2123
SlogP_VSA2,0.004502,2108
SlogP_VSA3,0.00444,2109
SlogP_VSA4,0.004321,2110
BertzCT,0.004252,2062
VSA_EState2,0.004206,2129
Chi0n,0.004162,2064
VSA_EState7,0.004161,2134
SPS,0.004153,2051
Kappa3,0.00413,2079
EState_VSA1,0.003779,2116
VSA_EState4,0.003492,2131
Chi1n,0.003477,2067
PEOE_VSA10,0.003155,2082
MaxAbsEStateIndex,0.003043,2048
Chi1,0.002916,2066
Chi0v,0.002585,2065
BCUT2D_MWHI,0.002491,2058
FpDensityMorgan3,0.002266,2057
PEOE_VSA6,0.002261,2091
SMR_VSA1,0.002232,2095
SlogP_VSA10,0.002186,2105
Chi2v,0.002079,2070
EState_VSA5,0.002041,2122
SMR_VSA10,0.001906,2096
bit_898,0.001898,898
Chi3v,0.001863,2072
EState_VSA2,0.001841,2119
Ipc,0.001806,2076
Chi0,0.001766,2063
TPSA,0.001725,2115
Phi,0.00168,2158
HallKierAlpha,0.0015,2075
MolLogP,0.001457,2160
Chi1v,0.001425,2068
VSA_EState1,0.001419,2127
PEOE_VSA3,0.001411,2088
