feature,importance_mean,importance_std,feat_index_in_selected,feat_index_in_combined
ECFP4_bit1644,0.013297,0.003124,192,1644
ECFP4_bit1147,0.013063,0.002707,203,1147
ECFP4_bit980,0.012375,0.00216,114,980
ECFP4_bit305,0.011396,0.002392,91,305
ECFP4_bit1416,0.010456,0.002256,242,1416
ECFP4_bit1706,0.010396,0.000769,152,1706
ECFP4_bit502,0.009773,0.001468,125,502
ECFP4_bit1034,0.009405,0.001603,66,1034
ECFP4_bit9,0.009204,0.001598,276,9
ECFP4_bit490,0.008526,0.001302,39,490
ECFP4_bit1080,0.008347,0.001433,106,1080
ECFP4_bit549,0.007358,0.002472,59,549
ECFP4_bit39,0.007034,0.001151,55,39
ECFP4_bit1028,0.006884,0.001299,133,1028
SMR_VSA4,0.0066,0.001819,124,2099
NumUnspecifiedAtomStereoCenters,0.006423,0.001762,126,2157
ECFP4_bit2,0.006286,0.001616,147,2
ECFP4_bit233,0.005916,0.001591,61,233
PEOE_VSA10,0.005859,0.001283,45,2082
ECFP4_bit1163,0.005466,0.00164,240,1163
ECFP4_bit1020,0.005368,0.001258,270,1020
PEOE_VSA8,0.005207,0.001368,26,2093
ECFP4_bit1236,0.004992,0.001365,108,1236
ECFP4_bit614,0.004902,0.000847,169,614
ECFP4_bit1063,0.004899,0.000819,171,1063
ECFP4_bit1164,0.004791,0.000904,293,1164
fr_aniline,0.004736,0.001336,128,2175
ECFP4_bit41,0.004549,0.001458,139,41
ECFP4_bit29,0.00443,0.000989,71,29
ECFP4_bit1309,0.004338,0.001018,243,1309
ECFP4_bit556,0.004324,0.001326,288,556
ECFP4_bit1114,0.004291,0.001516,14,1114
ECFP4_bit220,0.004242,0.000697,287,220
ECFP4_bit1043,0.004179,0.000915,153,1043
ECFP4_bit1738,0.004176,0.000814,206,1738
ECFP4_bit193,0.004013,0.00129,185,193
ECFP4_bit352,0.003972,0.000609,73,352
NumAromaticCarbocycles,0.003893,0.00111,233,2144
ECFP4_bit392,0.003824,0.001093,100,392
ECFP4_bit843,0.003812,0.000751,205,843
ECFP4_bit1627,0.003797,0.001032,213,1627
ECFP4_bit523,0.003735,0.001533,296,523
ECFP4_bit1802,0.00372,0.000675,94,1802
ECFP4_bit74,0.003689,0.000853,112,74
ECFP4_bit1,0.003649,0.001486,148,1
ECFP4_bit252,0.00355,0.000838,256,252
NumRotatableBonds,0.003517,0.000698,85,2152
ECFP4_bit542,0.003458,0.00065,280,542
ECFP4_bit993,0.003423,0.001157,188,993
NumAtomStereoCenters,0.003378,0.001207,67,2147
