feature,importance_mean,importance_std,feat_index
bit_1733,0.018825,0.003882,1733
bit_1146,0.009955,0.002421,1146
bit_1507,0.009955,0.002421,1507
bit_568,0.009955,0.002421,568
bit_870,0.009955,0.002421,870
bit_1583,0.006659,0.000334,1583
bit_1826,0.00579,0.003552,1826
bit_749,0.005047,0.002368,749
bit_100,0.004988,0.001244,100
bit_819,0.004942,0.002502,819
bit_1202,0.004544,0.000559,1202
bit_267,0.003436,0.002595,267
bit_305,0.003179,0.000785,305
bit_1839,0.003137,0.002905,1839
bit_45,0.002426,0.000711,45
bit_2021,0.002259,0.00066,2021
bit_1048,0.002142,0.000967,1048
bit_971,0.001924,0.001113,971
bit_1009,0.001798,0.004404,1009
bit_333,0.001778,0.002079,333
bit_1101,0.001718,0.003081,1101
bit_1409,0.001718,0.003081,1409
bit_1559,0.001668,0.004368,1559
bit_339,0.001668,0.004368,339
bit_1649,0.001635,0.00128,1649
bit_1136,0.001627,0.000855,1136
bit_403,0.001441,0.001279,403
bit_742,0.001386,0.000378,742
bit_1802,0.001311,0.00171,1802
bit_1164,0.001302,0.002394,1164
bit_1114,0.00122,0.000601,1114
bit_1751,0.001204,0.002272,1751
bit_1232,0.001185,0.000828,1232
bit_345,0.001173,0.000411,345
bit_886,0.001173,0.000411,886
bit_1554,0.001125,0.003395,1554
bit_1536,0.001124,0.003395,1536
bit_1970,0.001089,0.001961,1970
bit_285,0.001066,0.000482,285
bit_1927,0.00103,0.003279,1927
bit_856,0.000995,0.001371,856
bit_1832,0.000984,0.003281,1832
bit_803,0.00097,0.002601,803
bit_97,0.000953,0.002891,97
NumUnspecifiedAtomStereoCenters,0.000936,0.000508,2157
bit_1383,0.000872,0.001193,1383
bit_380,0.00086,0.001127,380
bit_1110,0.000847,0.002604,1110
bit_142,0.000847,0.002604,142
bit_674,0.000831,0.001221,674
