inchikey,smiles_std,pIC50_B2,pIC50_B1,scaffold
NIXGHBHIMPTIEW-UHFFFAOYSA-N,CCS(=O)(=O)NCCN1CCCc2c(-c3ccc4c(c3)CCC(=O)N4C)cncc21,7.958607314841775,6.6777807052660805,O=C1CCc2cc(-c3cncc4c3CCCN4)ccc2N1
NJGRFPFDAJLOMU-UHFFFAOYSA-N,CCS(=O)(=O)NCc1cncc(-c2cc3c(cc2F)N(C)C(=O)CC3)c1C,7.537602002101044,5.703115524461453,O=C1CCc2cc(-c3cccnc3)ccc2N1
NKCUSYWCUKPWMP-SFHVURJKSA-N,CN1C(=O)CCc2cc(-c3cncc(CN4C(=O)CC[C@H]4CO)c3)ccc21,7.309803919971486,5.632644078973981,O=C1CCc2cc(-c3cncc(CN4CCCC4=O)c3)ccc2N1
NKFZRLIPLAZGCW-UHFFFAOYSA-N,CN1C(=O)CCc2cc(-c3cncc(CN4CCS(=O)(=O)CC4)c3)ccc21,8.522878745280337,7.698970004336019,O=C1CCc2cc(-c3cncc(CN4CCS(=O)(=O)CC4)c3)ccc2N1
NKHZGBPVHUWXNC-UHFFFAOYSA-N,CCS(=O)(=O)NCc1cncc(-c2ccc3c(c2)CCC(=O)N3C)c1,7.721246399047171,5.920818753952375,O=C1CCc2cc(-c3cccnc3)ccc2N1
NKLDJLLDFLARLL-IBGZPJMESA-N,CN1C(=O)CCc2cc(-c3cncc(N4CCC[C@H]4Cn4cncn4)c3)ccc21,7.119186407719209,6.3872161432802645,O=C1CCc2cc(-c3cncc(N4CCC[C@H]4Cn4cncn4)c3)ccc2N1
NKVZHHMNZOQCKT-UHFFFAOYSA-N,CCC(=O)NC1(c2cncc(-c3ccc4c(c3)CCC(=O)N4C)c2)COC1,6.790484985457369,4.979514414203448,O=C1CCc2cc(-c3cncc(C4COC4)c3)ccc2N1
NLCQMBKQERUKRK-LJQANCHMSA-N,CCC(=O)N[C@@H]1CCCc2c(-c3ccc(C4(C(N)=O)CC4)c(F)c3)cncc21,,,c1cc(C2CC2)ccc1-c1cncc2c1CCCC2
NPPIUTUYKZIGJS-UHFFFAOYSA-N,Cc1noc(C)c1C(=O)NC(C)c1cncc(-c2ccc3c(c2)CCC(=O)N3C)c1,8.221848749616356,6.787812395596042,O=C1CCc2cc(-c3cncc(CNC(=O)c4cnoc4)c3)ccc2N1
NRJXWOLKOHLQAA-UHFFFAOYSA-N,CN(Cc1cncc(-c2cc3c(cc2F)N(C)C(=O)CC3)c1)C(=O)c1cnn(C)c1,7.886056647693163,6.769551078621726,O=C1CCc2cc(-c3cncc(CNC(=O)c4cn[nH]c4)c3)ccc2N1
NRUUNBMPGYOQLQ-UHFFFAOYSA-N,CN1C(=O)CCc2cc(-c3cncc(C4(NC(=O)c5ncccc5Cl)CC4)c3)c(F)cc21,8.522878745280337,6.42021640338319,O=C1CCc2cc(-c3cncc(C4(NC(=O)c5ccccn5)CC4)c3)ccc2N1
NWMIQPHZUJWRDM-MXVIHJGJSA-N,CCC(=O)N[C@H]1CC[C@H](Oc2cncc(-c3ccc4c(c3)CCC(=O)N4C)c2)CC1,8.397940008672037,6.337242168318426,O=C1CCc2cc(-c3cncc(OC4CCCCC4)c3)ccc2N1
NWOJIKLBLPFUSN-UHFFFAOYSA-N,CN1C(=O)CCc2cc(-c3cncc(NCc4ccccc4)c3)ccc21,8.698970004336019,7.301029995663981,O=C1CCc2cc(-c3cncc(NCc4ccccc4)c3)ccc2N1
NYTSSZNWLPWQGH-IBGZPJMESA-N,CCC(=O)N[C@H]1CC=Cc2c(-c3ccc4c(c3)CCC(=O)N4C)cncc21,,,O=C1CCc2cc(-c3cncc4c3C=CCC4)ccc2N1
NYTSSZNWLPWQGH-LJQANCHMSA-N,CCC(=O)N[C@@H]1CC=Cc2c(-c3ccc4c(c3)CCC(=O)N4C)cncc21,8.2518119729938,6.61261017366127,O=C1CCc2cc(-c3cncc4c3C=CCC4)ccc2N1
OBANXVWUOZLCBG-LJQANCHMSA-N,CCC(=O)N[C@@H]1CCCc2c(-c3ccc4c(c3)CNCC(=O)N4C)cncc21,,,O=C1CNCc2cc(-c3cncc4c3CCCC4)ccc2N1
ODODTXJJEVVNRA-UHFFFAOYSA-N,CN1C(=O)CCc2nc(-c3cccnc3)ccc21,6.380906669373258,4.534319788401723,O=C1CCc2nc(-c3cccnc3)ccc2N1
OHYMINVBBKKTFT-UHFFFAOYSA-N,O=C1CCc2cc(-c3cncc(CNC(=O)c4ncccc4Cl)c3)cc(Cl)c2N1,7.698970004336019,5.65033401590337,O=C1CCc2cc(-c3cncc(CNC(=O)c4ccccn4)c3)ccc2N1
OJMVHTFUZOAMNN-QGZVFWFLSA-N,CCC(=O)N[C@@H]1CCCc2c(-c3ccc4c(cc(C#N)n4C)n3)cncc21,,,c1cc2nc(-c3cncc4c3CCCC4)ccc2[nH]1
OMKNBLDSGSLNIF-UHFFFAOYSA-N,CCS(=O)(=O)NCCOc1cncc(-c2ccc3c(c2)CCC(=O)N3C)c1,8.301029995663981,7.045757490560675,O=C1CCc2cc(-c3cccnc3)ccc2N1
OMXUVRDNZPMOIU-QGZVFWFLSA-N,CCC(=O)N[C@@H]1CCCc2c(-c3ccc4c(c3)NCC(=O)N4C)cncc21,,,O=C1CNc2cc(-c3cncc4c3CCCC4)ccc2N1
OOTRLRJCEWTILP-UHFFFAOYSA-N,CN1C(=O)CCc2cc(-c3cccnc3)ncc21,6.488116639021126,,O=C1CCc2cc(-c3cccnc3)ncc2N1
OPMGPNWOYXEQDY-UHFFFAOYSA-N,Cc1c(CNC(=O)c2ncccc2Cl)cncc1-c1ccc2c(c1)CCC(=O)N2C,8.221848749616356,6.761953896871205,O=C1CCc2cc(-c3cncc(CNC(=O)c4ccccn4)c3)ccc2N1
ORKVIHLVUXTNTO-UHFFFAOYSA-N,CN1C(=O)CCc2cc(-c3cncc(CNC(=O)c4ncoc4C4CC4)c3)ccc21,8.221848749616356,6.728158393463501,O=C1CCc2cc(-c3cncc(CNC(=O)c4ncoc4C4CC4)c3)ccc2N1
OSKSEYRMGXWGHB-IBGZPJMESA-N,CCNC[C@@H]1CCCN1c1cncc(-c2ccc3c(c2)CCC(=O)N3C)c1,6.081445469449727,,O=C1CCc2cc(-c3cncc(N4CCCC4)c3)ccc2N1
OUDMBPWRBJMAAW-UHFFFAOYSA-N,CCS(=O)(=O)NC(C)(C)c1cncc(-c2ccc3c(c2)CCC(=O)N3C)c1,8.397940008672037,6.571865205971212,O=C1CCc2cc(-c3cccnc3)ccc2N1
OVNZBXNELOCUEL-UHFFFAOYSA-N,CN1C(=O)CCc2cc(-c3cncc(CNC(=O)c4ncccc4Cl)c3Cl)ccc21,8.698970004336019,7.397940008672037,O=C1CCc2cc(-c3cncc(CNC(=O)c4ccccn4)c3)ccc2N1
OVXVVZUOUHSOPB-IYARVYRRSA-N,CN1C(=O)CCc2cc(-c3cncc(O[C@H]4CC[C@H](N)CC4)c3)ccc21,7.091514981121351,5.602581457648652,O=C1CCc2cc(-c3cncc(OC4CCCCC4)c3)ccc2N1
OXRCUBTYBALBHY-UHFFFAOYSA-N,Cc1c(-c2cc3c(cc2F)N(C)C(=O)CC3)cncc1C(C)N,6.714442690992226,5.349206960348069,O=C1CCc2cc(-c3cccnc3)ccc2N1
OYJQLROWYQMPRN-GOSISDBHSA-N,CN(C)C(=O)N[C@@H]1CCCc2c(-c3ccc4c(c3)COC(=O)N4C)cncc21,8.013228265733755,6.505845405981558,O=C1Nc2ccc(-c3cncc4c3CCCC4)cc2CO1
